code	name
BO-O	オルロ
BO-P	ポトシ
BO-S	サンタクルス
BO-T	タリハ
BR-AC	アクレ
BR-AL	アラゴアス
BR-AM	アマゾナス
BR-AP	アマパ
BR-BA	バイア
BR-CE	セアラ
BR-ES	エスピリトサント
BR-GO	ゴイアス
BR-MA	マラニョン
BR-MG	ミナスジェライス
BR-MS	マトグロッソドスル
BR-MT	マトグロッソ
BR-PA	パラ
BR-PB	パライバ
BR-PE	ペルナンブコ
BR-PI	ピアウイ
BR-PR	パラナ
BR-RJ	リオデジャネイロ
BR-RN	リオグランデドノルテ
BR-RO	ロンドニア
BR-RR	ロライマ
BR-RS	リオグランデドスル
BR-SC	サンタカタリナ
BR-SE	セルジッペ
BR-SP	サンパウロ
BR-TO	トカンチンス
BS-AK	アクリンズ島
BS-CI	キャット島
BS-IN	イナグア島
BS-LI	ロング島
BS-MG	マヤグアナ島
BS-SS	サンサルバドル
BT-11	パロ
BT-12	チュカ
BT-13	ハ
BT-14	サムチ
BT-15	ティンプー
BT-21	チラン
BT-22	タカナ
BT-23	プナカ
BT-24	ワンドゥポダン
BT-31	サルパン
BT-33	ブムタン
BT-34	シェムガン
BT-41	タシガン
BT-42	モンガル
BT-43	ペマガツェル
BT-45	サムドゥプジョンカール
BT-GA	ガサ
BT-TY	ヤンツェ
BW-CE	セントラル
BW-FR	フランシスコモラサン
BW-GA	コロニー
BW-GH	ガンジ
BW-JW	クウェネング
BW-KG	ガラガティ
BW-KL	ガトレング
BW-KW	クウェネング
BW-LO	ロバイエ州
BY-BR	ウイチェブスク州
BY-HM	ミンスク市
BY-HO	ウイチェブスク州
BY-HR	ウイチェブスク州
BY-MA	ミンスク州
BY-MI	ミンスク州
BY-VI	ウイチェブスク州
BZ-BZ	ベリーズ
BZ-CZL	コロサル
BZ-OW	オレンジウォーク
BZ-TOL	トレド
CA-AB	アルバータ
CA-BC	ブリティッシュコロンビア
CA-MB	マニトバ
CA-NB	ニューブランズウィック
CA-NL	ニューファンドランド=ラブラドル
CA-NS	ノヴァスコシア
CA-NT	ノースウェストテリトリーズ
CA-NU	ヌナブット
CA-ON	オンタリオ
CA-PE	プリンスエドワードアイランド
CA-QC	ケベック
CA-SK	サスカチェワン
CA-YT	ムコノ
CD-BC	セントラル
CD-EQ	赤道州
CD-HK	カタンガ州
CD-HL	オームボム州
CD-HU	オートオグエ
CD-IT	アストゥリアス
CD-KC	マショナランド・セントラル
CD-KE	東カサイ州
CD-KG	ヤンゴン
CD-KN	キンシャサ
CD-LU	ダラバ
CD-MA	マニエマ州
CD-MO	モンガル
CD-NK	北キブ州
CD-NU	ノールトブラーバント
CD-SK	南キブ州
CD-TA	タンガ
CF-AC	ウハム州
CF-BB	バミンギバンゴラン州
CF-BGF	バンギ
CF-BK	バスコト州
CF-HK	オートコト州
CF-HM	オームボム州
CF-HS	マンベレカデイ州
CF-LB	ロバイエ州
CF-MB	ムボム州
CF-MP	オンベラムポコ州
CF-NM	ナナメンベレ州
CF-OP	ウハムペンデ州
CF-UK	ワカ州
CF-VK	バカガ州州
CG-11	ブエンザ
CG-12	プール
CG-14	プラトー
CG-2	レクム
CG-5	クイール
CG-7	リクアラ
CG-9	ニアリ
CG-BZV	ブラザビル
CH-AG	アールガウ
CH-AI	アペンツェルインナーローデン
CH-AR	アペンツェルアウサーローデン
CH-BE	ベルン
CH-BL	バーゼルランドシャフト
CH-BS	バーゼルシュタット
CH-GE	ジュネーブ
CH-GL	グラールス
CH-GR	グラウビュンデン
CH-JU	ジュラ
CH-LU	ルツェルン
CH-NE	ヌシャテル
CH-OW	オブワルデン
CH-SG	ザンクトガレン
CH-SH	シャフハウゼン
CH-SO	ソーロトゥルン
CH-SZ	シュウィーツ
CH-TI	ティチーノ
CH-UR	ウーリ
CH-VD	ボー
CH-VS	バレ
CH-ZG	ツーク
CH-ZH	チューリヒ
CI-BS	バササンドラ
CI-CM	コモエ
CI-DN	ドングェレ
CI-GD	ジブチ
CI-MG	モンタナ
CI-SV	サラワン
CI-VB	ヴァレデュバンダマ
CI-WR	モロベ
CI-ZZ	ブバンザ
CL-AN	アントファガスタ
CL-AR	アラウカニア
CL-AT	アタカマ
CL-CO	コキンボ
CL-LL	ロスラゴス
CL-MA	ナガラント
