# Generated by scripts/generate_legacy_iab_mapping.py.
# Re-run if 2_1.tsv or 3_0.tsv change.
# Empty v30_id with match_type=descriptive-vector-dropped means the
# legacy id was a Channel/Type/Media-Format/Language/Source/Source-Geo
# descriptor that 3.0 removed from topical content. Drop on migrate.
legacy_id	v30_id	label	match_type
294	294	Eye and Vision Conditions	id-preserved
295	295	Foot Health	id-preserved
296	296	Heart and Cardiovascular Diseases	id-preserved
297	297	Infectious Diseases	id-preserved
298	298	Injuries	id-preserved
299	299	First Aid	id-preserved
300	300	Lung and Respiratory Health	id-preserved
301	301	Mental Health	id-preserved
302	302	Reproductive Health	id-preserved
303	303	Birth Control	id-preserved
304	304	Infertility	id-preserved
305	305	Pregnancy	id-preserved
306	306	Blood Disorders	id-preserved
307	307	Sexual Health	id-preserved
308	308	Sexual Conditions	id-preserved
309	309	Skin and Dermatology	id-preserved
310	310	Sleep Disorders	id-preserved
311	311	Substance Abuse	id-preserved
312	312	Bone and Joint Conditions	id-preserved
313	313	Brain and Nervous System Disorders	id-preserved
314	314	Cancer	id-preserved
315	315	Cold and Flu	id-preserved
316	316	Dental Health	id-preserved
317	317	Diabetes	id-preserved
318	318	Digestive Disorders	id-preserved
319	319	Medical Tests	id-preserved
320	320	Pharmaceutical Drugs	id-preserved
321	321	Surgery	id-preserved
322	322	Vaccines	id-preserved
323	323	Cosmetic Medical Services	id-preserved
324	324	Movies	id-preserved
325	325	Action and Adventure Movies	id-preserved
326	326	Romance Movies	id-preserved
327	324	Science Fiction Movies	ancestor
328	324	Special Interest Movies	ancestor
329	324	Animation Movies	ancestor
330	324	Comedy Movies	ancestor
331	331	Crime and Mystery Movies	id-preserved
332	332	Documentary Movies	id-preserved
333	324	Drama Movies	ancestor
334	324	Family and Children Movies	ancestor
335	335	Fantasy Movies	id-preserved
336	336	Horror Movies	id-preserved
337	324	World Movies	ancestor
338	338	Music and Audio	id-preserved
339	339	Adult Contemporary Music	id-preserved
340	340	Soft AC Music	id-preserved
341	341	Urban AC Music	id-preserved
342	342	Adult Album Alternative	id-preserved
343	343	Alternative Music	id-preserved
344	344	Children's Music	id-preserved
345	345	Classic Hits	id-preserved
346	346	Classical Music	id-preserved
347	347	College Radio	id-preserved
348	348	Comedy (Music and Audio)	id-preserved
349	349	Contemporary Hits/Pop/Top 40	id-preserved
350	350	Country Music	id-preserved
351	351	Dance and Electronic Music	id-preserved
352	352	World/International Music	id-preserved
353	353	Songwriters/Folk	id-preserved
354	354	Gospel Music	id-preserved
355	355	Hip Hop Music	id-preserved
356	356	Inspirational/New Age Music	id-preserved
357	357	Jazz	id-preserved
358	358	Oldies/Adult Standards	id-preserved
359	359	Reggae	id-preserved
360	360	Blues	id-preserved
361	361	Religious (Music and Audio)	id-preserved
362	362	R&B/Soul/Funk	id-preserved
363	363	Rock Music	id-preserved
364	364	Album-oriented Rock	id-preserved
365	365	Alternative Rock	id-preserved
366	366	Classic Rock	id-preserved
367	367	Hard Rock	id-preserved
368	368	Soft Rock	id-preserved
369	369	Soundtracks, TV and Showtunes	id-preserved
370	370	Sports Radio	id-preserved
371	371	Talk Radio	id-preserved
372	371	Business News Radio	ancestor
373	371	Educational Radio	ancestor
374	371	News Radio	ancestor
375	371	News/Talk Radio	ancestor
376	376	Public Radio	id-preserved
377	377	Urban Contemporary Music	id-preserved
378	378	Variety (Music and Audio)	id-preserved
379	386	News and Politics	tier1-remap
380	380	Crime	id-preserved
381	381	Disasters	id-preserved
382	386	International News	tier1-remap
383	383	Law	id-preserved
384	386	Local News	tier1-remap
385	386	National News	tier1-remap
386	386	Politics	id-preserved
